0,0,0,0,0,0
-0.209607,-0.380942,0.291233,0.0580541,0.186231,0.571064
-0.416992,-0.752158,0.577141,0.110085,0.369177,1.12317
-0.622151,-1.11374,0.857772,0.156185,0.548852,1.65654
-0.825079,-1.4658,1.13317,0.196443,0.72527,2.17138
-1.02577,-1.80841,1.40339,0.230951,0.898447,2.66791
-1.22423,-2.14168,1.66848,0.259799,1.0684,3.14634
-1.42044,-2.46571,1.92849,0.283079,1.23513,3.60688
-1.61441,-2.78059,2.18345,0.300882,1.39867,4.04976
-1.80612,-3.08641,2.43343,0.313298,1.55903,4.47518
-1.99558,-3.38327,2.67847,0.320418,1.71621,4.88336
-2.18278,-3.67127,2.91861,0.322333,1.87025,5.27451
-2.36772,-3.95051,3.15392,0.319134,2.02114,5.64885
-2.55039,-4.22107,3.38442,0.310911,2.16891,6.00659
-2.73079,-4.48306,3.61018,0.297757,2.31357,6.34795
-2.90891,-4.73658,3.83124,0.279761,2.45514,6.67314
-3.08475,-4.98171,4.04765,0.257014,2.59362,6.98237
-3.25831,-5.21855,4.25945,0.229608,2.72904,7.27586
-3.42958,-5.4472,4.4667,0.197633,2.8614,7.55383
-3.59855,-5.66776,4.66944,0.16118,2.99073,7.81648
-3.76523,-5.88032,4.86773,0.12034,3.11704,8.06403
-3.92961,-6.08498,5.0616,0.0752035,3.24034,8.2967
-4.09168,-6.28183,5.25111,0.0258619,3.36065,8.51469
-4.25145,-6.47097,5.4363,-0.0275942,3.47798,8.71824
-4.4089,-6.6525,5.61723,-0.0850738,3.59234,8.90754
-4.56403,-6.82651,5.79394,-0.146486,3.70376,9.08281
-4.71684,-6.99309,5.96648,-0.21174,3.81225,9.24427
-4.86733,-7.15235,6.1349,-0.280745,3.91781,9.39213
-5.01548,-7.30437,6.29925,-0.35341,4.02047,9.52661
-5.1613,-7.44927,6.45957,-0.429645,4.12024,9.64792
-5.30478,-7.58712,6.61591,-0.509357,4.21713,9.75627
-5.44592,-7.71803,6.76832,-0.592457,4.31116,9.85188
-5.58472,-7.84209,6.91686,-0.678854,4.40235,9.93496
-5.72116,-7.9594,7.06155,-0.768456,4.4907,10.0057
-5.85525,-8.07006,7.20247,-0.861173,4.57624,10.0644
-5.98698,-8.17416,7.33965,-0.956914,4.65897,10.1112
-6.11634,-8.27179,7.47313,-1.05559,4.73892,10.1463
-6.24334,-8.36306,7.60298,-1.1571,4.8161,10.17
-6.36797,-8.44806,7.72924,-1.26137,4.89051,10.1824
-6.49022,-8.52688,7.85195,-1.3683,4.96218,10.1838
-6.61009,-8.59962,7.97116,-1.4778,5.03113,10.1743
-6.72758,-8.66638,8.08693,-1.58977,5.09736,10.1543
-6.84267,-8.72725,8.1993,-1.70414,5.16089,10.1239
-6.95538,-8.78233,8.30832,-1.8208,5.22173,10.0833
-7.06569,-8.83172,8.41403,-1.93966,5.2799,10.0328
-7.1736,-8.8755,8.51649,-2.06065,5.33542,9.97253
-7.2791,-8.91378,8.61574,-2.18365,5.3883,9.90273
-7.3822,-8.94666,8.71183,-2.30859,5.43855,9.82361
-7.48288,-8.97422,8.80481,-2.43537,5.48619,9.7354
-7.58114,-8.99657,8.89472,-2.56391,5.53123,9.6383
-7.67699,-9.01379,8.98163,-2.6941,5.57369,9.53253
-7.7704,-9.026,9.06556,-2.82587,5.61358,9.4183
-7.86139,-9.03327,9.14658,-2.95911,5.65091,9.29583
-7.94994,-9.03572,9.22473,-3.09374,5.68571,9.16533
-8.03606,-9.03343,9.30005,-3.22967,5.71799,9.02702
-8.11973,-9.02649,9.37261,-3.36681,5.74775,8.88111
-8.20096,-9.01502,9.44243,-3.50506,5.77502,8.72782
-8.27974,-8.9991,9.50958,-3.64433,5.79982,8.56735
-8.35606,-8.97882,9.5741,-3.78454,5.82214,8.39993
-8.42992,-8.95429,9.63603,-3.92559,5.84202,8.22576
