0,0,0,0,0,0,0
0.316376,0.321577,0.572116,-0.412168,0.772418,0.78814,0.393632
0.627797,0.638096,1.13305,-0.817113,1.53005,1.56101,0.780357
0.934292,0.949587,1.68286,-1.21488,2.27298,2.3187,1.16022
1.23589,1.25608,2.22164,-1.60551,3.00132,3.06132,1.53326
1.53262,1.55761,2.74946,-1.98906,3.71515,3.78897,1.89953
1.82451,1.85419,3.26639,-2.36557,4.41459,4.50175,2.25906
2.11159,2.14587,3.7725,-2.73508,5.09971,5.19976,2.6119
2.3939,2.43268,4.26788,-3.09764,5.77063,5.88311,2.9581
2.67145,2.71463,4.75259,-3.4533,6.42743,6.55189,3.2977
2.94428,2.99177,5.22672,-3.8021,7.07022,7.20621,3.63074
3.21242,3.26411,5.69033,-4.14409,7.69909,7.84616,3.95726
3.47589,3.5317,6.1435,-4.47931,8.31413,8.47186,4.27731
3.73474,3.79457,6.58631,-4.80781,8.91545,9.08339,4.59094
3.98897,4.05273,7.01883,-5.12963,9.50314,9.68087,4.89818
4.23864,4.30623,7.44114,-5.44483,10.0773,10.2644,5.19908
4.48376,4.55509,7.85331,-5.75344,10.638,10.834,5.49369
4.72436,4.79934,8.25541,-6.05552,11.1854,11.39,5.78204
4.96047,5.03901,8.64752,-6.3511,11.7195,11.9322,6.06419
5.19213,5.27414,9.02972,-6.64024,12.2405,12.4609,6.34017
5.41936,5.50475,9.40208,-6.92298,12.7485,12.9762,6.61002
5.64219,5.73087,9.76467,-7.19936,13.2435,13.4781,6.8738
5.86065,5.95253,10.1176,-7.46944,13.7256,13.9667,7.13155
6.07476,6.16977,10.4609,-7.73325,14.195,14.4422,7.3833
6.28457,6.3826,10.7946,-7.99084,14.6518,14.9047,7.62911
6.4901,6.59107,11.1189,-8.24226,15.0959,15.3542,7.86901
6.69137,6.7952,11.4338,-8.48756,15.5276,15.7909,8.10305
6.88842,6.99503,11.7394,-8.72677,15.9469,16.2148,8.33128
7.08128,7.19057,12.0357,-8.95995,16.354,16.6261,8.55373
7.26997,7.38187,12.3228,-9.18714,16.7489,17.0249,8.77045
7.45452,7.56895,12.6009,-9.40839,17.1316,17.4112,8.98149
7.63497,7.75185,12.87,-9.62374,17.5025,17.7852,9.18689
7.81134,7.93058,13.1301,-9.83324,17.8614,18.147,9.38668
7.98366,8.10519,13.3813,-10.0369,18.2085,18.4966,9.58093
8.15197,8.2757,13.6238,-10.2349,18.544,18.8342,9.76966
8.31628,8.44214,13.8575,-10.4271,18.8678,19.1598,9.95292
8.47664,8.60455,14.0826,-10.6136,19.1801,19.4737,10.1308
8.63307,8.76294,14.2992,-10.7946,19.4811,19.7758,10.3032
8.78559,8.91736,14.5072,-10.9699,19.7707,20.0662,10.4703
8.93424,9.06783,14.7068,-11.1397,20.0492,20.3452,10.6322
9.07905,9.21439,14.8981,-11.3041,20.3165,20.6127,10.7888
9.22005,9.35705,15.0811,-11.463,20.5728,20.8689,10.9401
9.35726,9.49586,15.2559,-11.6165,20.8182,21.1139,11.0863
9.49072,9.63084,15.4226,-11.7646,21.0527,21.3478,11.2274
9.62045,9.76203,15.5813,-11.9075,21.2766,21.5706,11.3635
9.74648,9.88944,15.732,-12.0451,21.4898,21.7825,11.4945
9.86885,10.0131,15.8748,-12.1775,21.6925,21.9837,11.6205
9.98758,10.1331,16.0097,-12.3047,21.8847,22.1741,11.7415
10.1027,10.2494,16.137,-12.4268,22.0666,22.3538,11.8577
10.2142,10.362,16.2565,-12.5438,22.2383,22.5231,11.969
10.3222,10.4711,16.3685,-12.6558,22.3998,22.682,12.0755
10.4267,10.5765,16.4729,-12.7628,22.5513,22.8305,12.1772
10.5277,10.6784,16.5699,-12.8649,22.6928,22.9689,12.2742
10.6252,10.7767,16.6595,-12.9621,22.8245,23.0971,12.3665
10.7193,10.8716,16.7419,-13.0544,22.9464,23.2154,12.4542
10.81,10.963,16.817,-13.142,23.0586,23.3237,12.5372
10.8973,11.0509,16.885,-13.2248,23.1613,23.4222,12.6158
