0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,8.13016e-09,-4.41902e-09,3.37092e-09,-3.39441e-09,-1.26227e-08,1.62782e-08,1.96765e-08,2.43604e-05,-1.32358e-05,1.01044e-05,-1.01604e-05,-3.78423e-05,4.87653e-05,5.8973e-05,0.0486006,-0.0263865,0.0201754,-0.0202298,-0.0755813,0.0972534,0.11772
0.002,6.4801e-08,-3.51821e-08,2.69006e-08,-2.69732e-08,-1.00775e-07,1.29672e-07,1.56961e-07,9.69615e-05,-5.26033e-05,4.02843e-05,-4.02781e-05,-0.000150956,0.000193954,0.000234991,0.0964821,-0.0522638,0.0401512,-0.0399149,-0.150544,0.192848,0.23409
0.003,2.17894e-07,-1.18167e-07,9.0565e-08,-9.04219e-08,-3.3942e-07,4.35775e-07,5.28224e-07,0.000217086,-0.000117595,9.03406e-05,-8.98098e-05,-0.000338724,0.00043391,0.000526706,0.143648,-0.0776346,0.0599283,-0.0590587,-0.224889,0.286791,0.349116
0.004,5.14576e-07,-2.78744e-07,2.14141e-07,-2.12884e-07,-8.02902e-07,1.02853e-06,1.24849e-06,0.000384021,-0.000207704,0.000160075,-0.000158216,-0.000600528,0.000766989,0.000932776,0.190102,-0.102501,0.0795078,-0.0776645,-0.298618,0.379093,0.462802
0.005,1.0013e-06,-5.41781e-07,4.17209e-07,-4.12967e-07,-1.56495e-06,2.00025e-06,2.43145e-06,0.000597055,-0.00032243,0.000249291,-0.000244961,-0.000935754,0.00119155,0.00145186,0.235849,-0.126866,0.0988905,-0.0957358,-0.371732,0.469761,0.575155
0.006,1.72382e-06,-9.31642e-07,7.19151e-07,-7.08741e-07,-2.69868e-06,3.44159e-06,4.18945e-06,0.000855483,-0.000461271,0.000357791,-0.000349511,-0.00134379,0.00170597,0.00208264,0.280891,-0.150733,0.118078,-0.113276,-0.444234,0.558805,0.686181
0.007,2.72717e-06,-1.4722e-06,1.13915e-06,-1.11775e-06,-4.27659e-06,5.4416e-06,6.63352e-06,0.0011586,-0.00062373,0.000485381,-0.000471337,-0.00182402,0.00230862,0.00282379,0.325233,-0.174103,0.13707,-0.130288,-0.516125,0.646232,0.795886
0.008,4.05569e-06,-2.18681e-06,1.69621e-06,-1.657e-06,-6.37058e-06,8.08771e-06,9.87337e-06,0.00150572,-0.000809312,0.000631866,-0.000609913,-0.00237583,0.0029979,0.00367398,0.368878,-0.196979,0.155869,-0.146776,-0.587406,0.732052,0.904276
0.009,5.75303e-06,-3.09836e-06,2.40912e-06,-2.34298e-06,-9.05192e-06,1.14657e-05,1.40174e-05,0.00189613,-0.00101752,0.000797054,-0.000764716,-0.00299863,0.00377219,0.0046319,0.41183,-0.219364,0.174475,-0.162744,-0.658079,0.816272,1.01136
0.01,7.86215e-06,-4.22924e-06,3.29649e-06,-3.19167e-06,-1.23913e-05,1.56599e-05,1.91727e-05,0.00232915,-0.00124788,0.000980752,-0.000935227,-0.00369179,0.00462991,0.00569625,0.454092,-0.24126,0.192889,-0.178193,-0.728145,0.898903,1.11713
0.011,1.04253e-05,-5.60133e-06,4.37673e-06,-4.2185e-06,-1.64588e-05,2.07528e-05,2.54449e-05,0.00280408,-0.00149988,0.00118277,-0.00112093,-0.00445472,0.00556947,0.00686573,0.49567,-0.26267,0.211112,-0.193128,-0.797607,0.979951,1.22161
0.012,1.34841e-05,-7.23606e-06,5.66807e-06,-5.43842e-06,-2.13238e-05,2.68256e-05,3.29387e-05,0.00332026,-0.00177305,0.00140291,-0.00132131,-0.0052868,0.00658929,0.00813905,0.536565,-0.283597,0.229146,-0.207553,-0.866465,1.05943,1.3248
0.013,1.70793e-05,-9.15434e-06,7.18854e-06,-6.86585e-06,-2.70552e-05,3.39577e-05,4.17572e-05,0.00387699,-0.00206691,0.001641,-0.00153587,-0.00618745,0.0076878,0.0095149,0.576783,-0.304042,0.246991,-0.22147,-0.934721,1.13734,1.4267
0.014,2.12513e-05,-1.13766e-05,8.95598e-06,-8.51471e-06,-3.37213e-05,4.22269e-05,5.20023e-05,0.0044736,-0.00238098,0.00189683,-0.00176409,-0.00715604,0.00886345,0.010992,0.616326,-0.324009,0.264649,-0.234883,-1.00238,1.21369,1.52732
0.015,2.60396e-05,-1.39229e-05,1.09881e-05,-1.03984e-05,-4.13898e-05,5.17097e-05,6.37746e-05,0.00510942,-0.00271477,0.00217023,-0.00200547,-0.008192,0.0101147,0.0125691,0.655199,-0.3435,0.28212,-0.247796,-1.06943,1.2885,1.62666
