0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-6.14637e-08,3.52106e-08,4.62181e-08,-4.11964e-08,-6.75653e-08,-6.74038e-08,-0.000183884,0.000105298,0.000138433,-0.000123426,-0.000202183,-0.000201641,-0.365744,0.20926,0.275985,-0.246197,-0.402318,-0.401001
0.002,-4.87664e-07,2.79018e-07,3.67982e-07,-3.28264e-07,-5.3643e-07,-5.34675e-07,-0.000727461,0.000415865,0.000550215,-0.000491089,-0.000800562,-0.000797468,-0.719408,0.410556,0.546703,-0.488478,-0.792412,-0.7884
0.003,-1.63228e-06,9.32724e-07,1.23601e-06,-1.10348e-06,-1.7967e-06,-1.78923e-06,-0.00161872,0.000923784,0.0012301,-0.00109908,-0.00178298,-0.00177396,-1.06113,0.603977,0.812202,-0.726856,-1.17041,-1.16236
0.004,-3.83704e-06,2.18976e-06,2.91582e-06,-2.60524e-06,-4.22638e-06,-4.20503e-06,-0.00284579,0.00162123,0.0021729,-0.00194351,-0.0031374,-0.00311776,-1.39106,0.789616,1.07253,-0.961349,-1.53645,-1.52303
0.005,-7.43189e-06,4.23577e-06,5.66773e-06,-5.06801e-06,-8.19152e-06,-8.14277e-06,-0.00439695,0.00250045,0.00337345,-0.00302049,-0.00485192,-0.00481565,-1.70933,0.967562,1.32774,-1.19197,-1.89065,-1.87058
0.006,-1.27351e-05,7.24871e-06,9.74695e-06,-8.72244e-06,-1.40463e-05,-1.395e-05,-0.00626061,0.00355382,0.00482668,-0.00432616,-0.00691479,-0.00685459,-2.01608,1.13791,1.57787,-1.41874,-2.23315,-2.20516
0.007,-2.00535e-05,1.13989e-05,1.54036e-05,-1.37953e-05,-2.21333e-05,-2.19613e-05,-0.00842532,0.00477376,0.00652752,-0.00585669,-0.00931436,-0.00922171,-2.31145,1.30074,1.82297,-1.64167,-2.56407,-2.52694
0.008,-2.96823e-05,1.68493e-05,2.28829e-05,-2.05095e-05,-3.27835e-05,-3.24986e-05,-0.0108798,0.00615282,0.00847097,-0.00760822,-0.0120391,-0.0119043,-2.59559,1.45615,2.0631,-1.86077,-2.88355,-2.83608
0.009,-4.19059e-05,2.37551e-05,3.24248e-05,-2.90841e-05,-4.63162e-05,-4.58708e-05,-0.0136128,0.00768362,0.0106521,-0.00957696,-0.0150777,-0.0148897,-2.86863,1.60424,2.2983,-2.07607,-3.19172,-3.13272
0.01,-5.69971e-05,3.22647e-05,4.42646e-05,-3.97345e-05,-6.30397e-05,-6.23748e-05,-0.0166134,0.00935888,0.0130659,-0.0117591,-0.0184188,-0.0181656,-3.13072,1.74508,2.52862,-2.28757,-3.48871,-3.41704
0.011,-7.52182e-05,4.25187e-05,5.86326e-05,-5.26722e-05,-8.3251e-05,-8.22948e-05,-0.0198706,0.0111714,0.0157077,-0.0141508,-0.0220514,-0.0217197,-3.38199,1.87878,2.7541,-2.49529,-3.77465,-3.68919
0.012,-9.68203e-05,5.46509e-05,7.57544e-05,-6.81048e-05,-0.000107236,-0.000105903,-0.0233738,0.0131141,0.0185725,-0.0167484,-0.0259645,-0.02554,-3.62258,2.00542,2.9748,-2.69926,-4.04966,-3.94933
0.013,-0.000122044,6.87879e-05,9.58505e-05,-8.62364e-05,-0.00013527,-0.000133459,-0.0271123,0.0151799,0.0216557,-0.0195481,-0.0301472,-0.0296144,-3.85265,2.1251,3.19076,-2.89947,-4.31389,-4.19761
0.014,-0.00015112,8.50495e-05,0.000119137,-0.000107267,-0.000167617,-0.000165213,-0.0310756,0.017362,0.0249525,-0.0225461,-0.0345887,-0.0339313,-4.07231,2.23789,3.40203,-3.09596,-4.56745,-4.43421
0.015,-0.000184267,0.000103548,0.000145825,-0.000131394,-0.00020453,-0.000201399,-0.0352535,0.0196535,0.0284582,-0.0257388,-0.0392786,-0.038479,-4.28173,2.34391,3.60866,-3.28873,-4.81048,-4.65928
0.016,-0.000221695,0.000124391,0.000176122,-0.000158808,-0.000246253,-0.000242244,-0.0396357,0.0220476,0.0321683,-0.0291224,-0.0442062,-0.0432461,-4.48103,2.44323,3.8107,-3.4778,-5.04312,-4.87297
0.017,-0.000263603,0.000147676,0.000210228,-0.000189701,-0.000293018,-0.00028796,-0.0442122,0.0245377,0.0360781,-0.0326932,-0.0493614,-0.0482212,-4.67036,2.53595,4.0082,-3.66319,-5.26548,-5.07545
0.018,-0.000310181,0.000173496,0.000248343,-0.000224256,-0.000345048,-0.000338752,-0.0489732,0.0271173,0.0401832,-0.0364475,-0.0547338,-0.0533933,-4.84986,2.62215,4.2012,-3.84491,-5.47771,-5.26687
0.019,-0.000361608,0.000201938,0.000290658,-0.000262656,-0.000402555,-0.000394809,-0.0539087,0.0297799,0.044479,-0.0403818,-0.0603134,-0.0587513,-5.01967,2.70193,4.38975,-4.02297,-5.67992,-5.4474
0.02,-0.000418053,0.000233081,0.000337363,-0.000305078,-0.000465741,-0.000456313,-0.0590093,0.0325191,0.0489612,-0.0444923,-0.0660903,-0.0642845,-5.17992,2.77539,4.5739,-4.1974,-5.87226,-5.61719
0.021,-0.000479678,0.000266999,0.000388641,-0.000351698,-0.000534798,-0.000523433,-0.0642654,0.0353286,0.0536254,-0.0487754,-0.0720547,-0.0699822,-5.33077,2.8426,4.7537,-4.36821,-6.05485,-5.77641
0.022,-0.000546633,0.00030376,0.000444673,-0.000402685,-0.000609909,-0.000596328,-0.0696678,0.0382022,0.0584672,-0.0532275,-0.0781968,-0.0758338,-5.47234,2.90366,4.9292,-4.53541,-6.22782,-5.92521
