0,0,0,0,0,0,0
0.000158602,0.000161211,0.000286993,-0.000206688,0.000387446,0.000395347,0.000197393
0.000631101,0.000641468,0.0011405,-0.000821929,0.00153991,0.00157119,0.000784962
0.00141255,0.00143573,0.00254938,-0.00183852,0.00344264,0.0035123,0.00175582
0.00249805,0.00253898,0.00450255,-0.00324931,0.006081,0.00620356,0.00310313
0.00388271,0.00394623,0.00698901,-0.00504718,0.00944044,0.00962995,0.00482008
0.00556168,0.00565254,0.00999783,-0.00722508,0.0135065,0.0137765,0.00689993
0.00753013,0.00765298,0.0135182,-0.00977599,0.0182648,0.0186285,0.00933597
0.00978327,0.00994266,0.0175393,-0.0126929,0.0237012,0.0241712,0.0121215
0.0123163,0.0125167,0.0220504,-0.015969,0.0298014,0.0303899,0.01525
0.0151246,0.0153703,0.0270409,-0.0195972,0.0365514,0.0372701,0.0187147
0.0182033,0.0184987,0.0325003,-0.0235709,0.0439372,0.0447975,0.0225093
0.0215479,0.021897,0.0384181,-0.0278831,0.0519449,0.0529577,0.0266271
0.0251536,0.0255605,0.0447839,-0.0325273,0.0605609,0.0617365,0.0310618
0.0290158,0.0294845,0.0515873,-0.0374965,0.0697713,0.0711198,0.0358068
0.03313,0.0336644,0.0588181,-0.0427843,0.0795626,0.0810936,0.040856
0.0374916,0.0380954,0.0664662,-0.048384,0.0899214,0.091644,0.0462029
0.042096,0.042773,0.0745214,-0.054289,0.100834,0.102757,0.0518413
0.0469388,0.0476926,0.0829737,-0.0604929,0.112288,0.114419,0.0577649
0.0520155,0.0528495,0.0918131,-0.0669891,0.124269,0.126617,0.0639676
0.0573216,0.0582394,0.10103,-0.0737712,0.136765,0.139337,0.0704432
0.0628527,0.0638575,0.110614,-0.0808329,0.149762,0.152565,0.0771856
0.0686045,0.0696996,0.120556,-0.0881679,0.163247,0.166288,0.0841888
0.0745725,0.0757611,0.130846,-0.0957697,0.177209,0.180494,0.0914467
0.0807526,0.0820377,0.141474,-0.103632,0.191633,0.195169,0.0989534
0.0871403,0.0885249,0.152432,-0.111749,0.206508,0.210299,0.106703
0.0937314,0.0952184,0.163709,-0.120115,0.221821,0.225873,0.114689
0.100522,0.102114,0.175296,-0.128722,0.237559,0.241877,0.122907
0.107507,0.109207,0.187185,-0.137566,0.253711,0.258298,0.13135
0.114683,0.116494,0.199365,-0.14664,0.270263,0.275125,0.140013
0.122045,0.123969,0.211827,-0.155939,0.287204,0.292344,0.148889
0.12959,0.13163,0.224564,-0.165455,0.304522,0.309943,0.157974
0.137314,0.139472,0.237564,-0.175184,0.322205,0.32791,0.167261
0.145212,0.14749,0.250821,-0.18512,0.340241,0.346233,0.176745
0.15328,0.155681,0.264324,-0.195256,0.358618,0.364899,0.186421
0.161514,0.16404,0.278066,-0.205588,0.377325,0.383897,0.196283
0.169911,0.172564,0.292036,-0.216108,0.39635,0.403215,0.206325
0.178466,0.181248,0.306228,-0.226813,0.415682,0.422841,0.216543
0.187176,0.190088,0.320632,-0.237696,0.435308,0.442763,0.22693
0.196036,0.199081,0.33524,-0.248751,0.455219,0.462969,0.237481
0.205043,0.208223,0.350043,-0.259973,0.475403,0.483449,0.248192
0.214193,0.217509,0.365033,-0.271357,0.495849,0.504191,0.259057
